type,inputUser,inputGroup,action,modificationMode,name,specialDatesToDeleteList,specialCommentsToDeleteList,yearlyDatesToDeleteList,yearlyCommentsToDeleteList,businessDatesToDeleteList,businessCommentsToDeleteList,selected
calendar,MIGRATION,MIGRATION,modification,remove,THUR,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,WED,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,AAB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,DAB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TLB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MCX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,IRX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SFS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NYX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NYB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,LIG,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,CBT,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TRB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SIB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TRX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SOF,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BKS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,ARE,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MGE,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,STS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SEB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,KLB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SIM,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,PAS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,LSS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,VIB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SDW,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,DSB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,JAS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TUX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MAT,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MUB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SYS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,CRB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NIB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,PLB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,AMQ,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,INX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SPF,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BIB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SPS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,INS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MCB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BAR,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BAP,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,IME,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,CUB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,PEB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,WED,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,KVX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TQG,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NIX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,WIB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,PVB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,PPB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BWB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MEB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,QIB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,PBH,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HVB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TSI,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,EUD,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SOX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,USG,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SFS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NYX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SYB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SYF,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,LSX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TNB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,RGB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BCB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MAS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,LME,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,STB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,COB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SIM,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SXA,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BAX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SXB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SOO,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,GTB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,COS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,KLS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MAT,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NYS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,OSS,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TDF,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MEB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,GGB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,DZB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,WEX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,KAB,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BDX,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,IPCA,,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SSB,,,,,,,No
